example_id                                                               | status | run_time        |
./spec/models/rezzable/web_object_spec.rb[1:3]                           | passed | 0.00297 seconds |
./spec/models/rezzable/web_object_spec.rb[1:4]                           | passed | 0.00835 seconds |
./spec/models/rezzable/web_object_spec.rb[1:5]                           | passed | 0.01495 seconds |
./spec/models/rezzable/web_object_spec.rb[1:6]                           | passed | 0.01016 seconds |
./spec/models/rezzable/web_object_spec.rb[1:7]                           | passed | 0.01249 seconds |
./spec/models/rezzable/web_object_spec.rb[1:8]                           | passed | 0.03411 seconds |
./spec/models/rezzable/web_object_spec.rb[1:9]                           | passed | 0.007 seconds   |
./spec/models/rezzable/web_object_spec.rb[1:10:1]                        | passed | 0.00185 seconds |
./spec/models/rezzable/web_object_spec.rb[1:10:2]                        | passed | 0.0019 seconds  |
./spec/models/rezzable/web_object_spec.rb[1:11:1]                        | passed | 0.00209 seconds |
./spec/models/rezzable/web_object_spec.rb[1:12:1]                        | passed | 0.00199 seconds |
./spec/models/rezzable/web_object_spec.rb[1:13:1]                        | passed | 0.00152 seconds |
./spec/models/rezzable/web_object_spec.rb[1:14:1]                        | passed | 0.00192 seconds |
./spec/models/rezzable/web_object_spec.rb[1:14:2]                        | passed | 0.00194 seconds |
./spec/models/user_spec.rb[1:1]                                          | passed | 0.00147 seconds |
./spec/models/user_spec.rb[1:2]                                          | passed | 0.00159 seconds |
./spec/models/user_spec.rb[1:3]                                          | passed | 0.00151 seconds |
./spec/models/user_spec.rb[1:4]                                          | passed | 0.00191 seconds |
./spec/models/user_spec.rb[1:5]                                          | passed | 0.01967 seconds |
./spec/models/user_spec.rb[1:6]                                          | passed | 0.00665 seconds |
./spec/models/user_spec.rb[1:7]                                          | passed | 0.00989 seconds |
./spec/models/user_spec.rb[1:8:1:1]                                      | passed | 0.00637 seconds |
./spec/models/user_spec.rb[1:9:1:1]                                      | passed | 0.0099 seconds  |
./spec/models/user_spec.rb[1:9:2:1]                                      | passed | 0.0092 seconds  |
./spec/models/user_spec.rb[1:10:1:1]                                     | passed | 0.00966 seconds |
./spec/models/user_spec.rb[1:10:2:1]                                     | passed | 0.00899 seconds |
./spec/models/user_spec.rb[1:11:1]                                       | passed | 0.00139 seconds |
./spec/models/user_spec.rb[1:11:2]                                       | passed | 0.00144 seconds |
./spec/models/user_spec.rb[1:11:3]                                       | passed | 0.00143 seconds |
./spec/models/user_spec.rb[1:11:4]                                       | passed | 0.00948 seconds |
./spec/models/user_spec.rb[1:12:1:1:1]                                   | passed | 0.0096 seconds  |
./spec/models/user_spec.rb[1:12:1:1:2]                                   | passed | 0.00937 seconds |
./spec/models/user_spec.rb[1:12:1:2:1]                                   | passed | 0.00964 seconds |
./spec/models/user_spec.rb[1:12:1:2:2]                                   | passed | 0.00934 seconds |
./spec/models/user_spec.rb[1:12:2:1]                                     | passed | 0.00964 seconds |
./spec/models/user_spec.rb[1:12:2:2]                                     | passed | 0.00947 seconds |
./spec/models/user_spec.rb[1:12:3:1]                                     | passed | 0.00946 seconds |
./spec/models/user_spec.rb[1:12:3:2]                                     | passed | 0.00936 seconds |
./spec/models/user_spec.rb[1:12:4:1]                                     | passed | 0.00944 seconds |
./spec/models/user_spec.rb[1:12:4:2]                                     | passed | 0.00945 seconds |
./spec/models/user_spec.rb[1:12:5:1:1]                                   | passed | 0.00843 seconds |
./spec/models/user_spec.rb[1:13:1]                                       | passed | 0.00627 seconds |
